what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1411750239524
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1411750239524
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1411750239524
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1411750239524
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1411750239524
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1411750239524
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1411750239524
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1411750239534
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1411750239534
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1411750239534
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1411750239534
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1411750239534
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1411750239534
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1411750239534
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1411750239534
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1411750239534
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1411750239534
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1411750239534
os,sysinfo,,,"win32",1411750239544
arch,sysinfo,,,"x86",1411750239544
ws,sysinfo,,,"win32",1411750239544
locale,sysinfo,,,"en_US",1411750239544
processors,sysinfo,,,"2",1411750239544
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1411750239544
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1411750239544
java.specification.name,sysinfo,,,"Java Platform API Specification",1411750239544
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1411750239544
java.specification.version,sysinfo,,,"1.6",1411750239544
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1411750239544
java.version,sysinfo,,,"1.6.0_23",1411750239544
java.vm.info,sysinfo,,,"mixed mode",1411750239544
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1411750239544
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1411750239544
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1411750239544
java.vm.specification.version,sysinfo,,,"1.0",1411750239544
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1411750239544
java.vm.version,sysinfo,,,"19.0-b09",1411750239544
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1411750239744
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1411750240885
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1411750257306
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411750637331
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750705979
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411750707950
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750708380
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750708560
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1411750708670
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411750714371
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750715512
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750715782
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411750759557
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750759887
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750760147
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1411750764007
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1411750766278
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411750795292
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750795582
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750795882
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750864501
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750881373
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411750887044
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1411750888884
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1411750889234
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1411750889254
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1411750889855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411750890175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411750891325
error,log,,,"Unable to validate connection settings.",1411750905172
error,log,,,"Unable to validate connection settings.",1411750905192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411750905292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411750911943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751253684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751337281
error,log,,,"Unable to validate connection settings.",1411751348711
error,log,,,"Unable to validate connection settings.",1411751348721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751348781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751352682
error,log,,,"Unable to validate connection settings.",1411751367063
error,log,,,"Unable to validate connection settings.",1411751367073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751367133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751372014
error,log,,,"Unable to validate connection settings.",1411751383295
error,log,,,"Unable to validate connection settings.",1411751383305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751383355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751400067
error,log,,,"Unable to validate connection settings.",1411751412269
error,log,,,"Unable to validate connection settings.",1411751412279
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1411751412339
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1411751412429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751412559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751414360
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411751414930
error,log,,,"Unable to validate connection settings.",1411751432122
error,log,,,"Unable to validate connection settings.",1411751432132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751432192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751439453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751452204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751453484
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411751453944
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1411751454985
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1411751455335
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1411751455345
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1411751455345
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1411751455345
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1411751455345
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1411751455345
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1411751455345
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1411751455345
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1411751455345
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1411751455355
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1411751455355
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1411751455365
