what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411775830804
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411775832940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1411775849583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411775856165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775876702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775877727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775882439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775891933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775902182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775902848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775906049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775909084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775913629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775914247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775920269
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1411775920384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775931525
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411775931562
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1411775933605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775991560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411775992575
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1411775997671
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411776009964
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1411776010968
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1411776035715
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411776052968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411776088194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411776088944
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1411776094233
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411776106432
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1411776107423
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1411776129529
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411776144231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411776157356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411776158268
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1411776164152
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1411776176402
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1411776177395
